Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,P>2.5,P<2.5,PAHH,PAHA
P1,09/01/2024,03:30:00 PM,Nacional,Farense,2,0,H,1,0,H,17,14,4,2,19,16,4,4,3,3,0,0,2.23,3.43,3.23,1.89,1.94,1.93,1.93
P1,09/01/2024,06:00:00 PM,Rio Ave,Arouca,1,0,H,1,0,H,11,13,3,3,16,19,8,8,1,3,0,0,2.32,3.28,3.19,2.05,1.78,1.99,1.86
P1,09/01/2024,08:30:00 PM,Gil Vicente,Sp Braga,0,0,D,0,0,D,10,8,5,2,8,18,4,5,4,1,0,0,4.64,3.9,1.72,1.76,2.09,1.92,1.93
P1,09/01/2024,08:30:00 PM,Guimaraes,Famalicao,2,1,H,1,1,D,8,8,4,4,18,12,5,7,5,3,0,0,1.95,3.36,4.12,2.22,1.68,1.96,1.89
P1,09/13/2024,08:15:00 PM,Arouca,Sp Lisbon,0,3,A,0,1,A,6,21,2,6,14,11,2,8,3,0,0,0,12.99,7.15,1.21,1.46,2.77,1.83,2.05
P1,09/14/2024,03:30:00 PM,Casa Pia,Moreirense,3,1,H,0,1,A,16,12,4,2,23,10,4,5,5,2,0,0,2.78,2.92,2.85,2.6,1.51,1.9,1.95
P1,09/14/2024,06:00:00 PM,AVS,Rio Ave,1,0,H,0,0,D,11,17,3,3,13,12,4,11,4,2,0,0,2.63,3.15,2.81,2.14,1.71,1.87,1.99
P1,09/14/2024,08:30:00 PM,Benfica,Santa Clara,4,1,H,2,1,H,15,6,7,2,14,7,5,1,1,3,0,0,1.23,6.25,11.56,1.65,2.24,2.01,1.83
P1,09/14/2024,08:30:00 PM,Famalicao,Gil Vicente,1,1,D,1,0,H,13,8,4,3,11,16,8,1,1,0,0,0,1.84,3.44,4.51,2.19,1.68,1.85,2
P1,09/15/2024,03:30:00 PM,Porto,Farense,2,1,H,0,0,D,23,12,11,5,7,19,11,0,2,3,0,0,1.12,8.89,18.36,1.47,2.65,1.98,1.84
P1,09/15/2024,06:00:00 PM,Estoril,Nacional,1,0,H,1,0,H,11,15,3,3,22,14,3,4,2,1,0,1,2.32,3.37,3.06,2.1,1.74,2.01,1.83
P1,09/15/2024,08:30:00 PM,Sp Braga,Guimaraes,0,2,A,0,0,D,5,10,2,4,20,17,6,4,3,3,1,0,1.99,3.43,3.83,2.08,1.75,2,1.84
P1,09/16/2024,08:15:00 PM,Estrela,Boavista,2,2,D,1,2,A,20,12,3,4,8,17,9,2,3,4,0,0,1.9,3.25,4.51,2.36,1.6,1.91,1.93
P1,09/20/2024,08:15:00 PM,Nacional,Sp Braga,0,3,A,0,0,D,12,15,2,5,12,17,6,6,3,3,0,0,5.23,4.19,1.65,1.68,2.27,2.09,1.83
P1,09/21/2024,03:30:00 PM,Rio Ave,Estoril,2,2,D,1,0,H,15,8,7,3,16,9,7,4,2,2,0,0,1.92,3.34,4.33,2.47,1.57,1.93,1.93
P1,09/21/2024,03:30:00 PM,Santa Clara,Estrela,1,0,H,0,0,D,8,11,4,4,17,18,3,8,2,3,0,0,1.74,3.61,4.96,2.16,1.72,2,1.88
P1,09/21/2024,06:00:00 PM,Guimaraes,Porto,0,3,A,0,0,D,6,12,1,4,7,18,5,6,4,4,0,0,3.63,3.18,2.17,2.25,1.67,2.01,1.87
P1,09/21/2024,08:30:00 PM,Moreirense,Famalicao,0,0,D,0,0,D,8,6,3,1,24,15,4,3,5,3,0,0,2.53,3.11,3.01,2.43,1.58,1.78,2.13
P1,09/22/2024,03:30:00 PM,Gil Vicente,Casa Pia,1,1,D,1,0,H,15,8,4,4,7,24,9,2,2,5,0,0,2.09,3.19,3.85,2.42,1.57,1.79,2.08
P1,09/22/2024,06:00:00 PM,Farense,Arouca,0,1,A,0,1,A,16,11,2,2,22,16,10,6,1,4,0,0,2.65,3.4,2.64,1.92,1.92,1.93,1.93
P1,09/22/2024,08:30:00 PM,Sp Lisbon,AVS,3,0,H,2,0,H,22,3,9,0,11,12,9,1,0,3,0,0,1.07,13.09,23.14,1.31,3.38,2,1.82
P1,09/23/2024,08:15:00 PM,Boavista,Benfica,0,3,A,0,2,A,7,16,3,9,9,9,4,5,2,0,0,0,10.89,5.9,1.25,1.69,2.16,1.83,2.02
P1,09/27/2024,08:15:00 PM,Estoril,Sp Lisbon,0,3,A,0,2,A,5,22,2,5,13,8,1,14,2,0,0,0,15.05,8.26,1.17,1.41,2.94,2.05,1.85
P1,09/28/2024,03:30:00 PM,Estrela,Moreirense,2,1,H,2,0,H,4,13,2,2,27,18,2,7,3,3,0,1,3.01,3.08,2.55,2.4,1.58,2.12,1.78
P1,09/28/2024,06:00:00 PM,Casa Pia,Guimaraes,1,1,D,1,0,H,9,19,4,7,13,9,7,9,2,0,0,0,4.06,3.2,2.03,2.47,1.56,1.83,2.05
P1,09/28/2024,08:30:00 PM,Benfica,Gil Vicente,5,1,H,2,1,H,18,10,6,4,10,6,11,2,1,2,0,0,1.18,7.44,12.96,1.49,2.63,1.98,1.87
P1,09/29/2024,03:30:00 PM,Famalicao,Nacional,0,0,D,0,0,D,16,11,5,4,13,22,8,4,1,4,0,0,1.61,3.9,5.68,2.01,1.83,1.79,2.08
P1,09/29/2024,06:00:00 PM,Porto,Arouca,4,0,H,0,0,D,26,4,7,0,17,7,8,2,2,3,0,1,1.18,6.86,14.84,1.54,2.48,2.03,1.82
P1,09/29/2024,08:30:00 PM,Santa Clara,Boavista,1,0,H,1,0,H,15,4,5,2,11,9,3,0,4,3,0,0,1.59,3.79,6.1,2.23,1.67,1.78,2.09
